ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
50,Design an Interactive System for Computer Architecture Organization in E-learning Using Android Based Application Platform,"Low, Wai Yik",Universiti Tun Hussein Onn Malaysia,thesis,2014,Q,o,,,,,,,,x,,,,,Not peer-reviewed
51,Puzzle game using Android MVVM Architecture,"Maharjan, Bikesh",,journalArticle,2012,Q,o,,,,,,,,x,,,,,Not peer-reviewed
52,,"LIM, Young Chul; KANG, Minsung",,journalArticle,,Q,,,,,,,,,,,x,,,Not available
53,ARCHITECTURAL COMPARISON–A CASE STUDY BETWEEN ANDROID & IOS,"Gupta, Ankit",,journalArticle,,Q,o,,,,,,,,,,,,,Not focused on software architecture
54,Android Architecture and Related Security Risks,"Khan, Jamil; Shahzad, Sara",,journalArticle,2015,Q,o,o,,x,,,,,,,,,,Not focused on (non-trivial) aspects of Android Architecture
55,Unveiling the Architecture and Design of Android Applications-An Exploratory Study.,"Neto, Edmilson Campos; Kulesza, Uirá; Coelho, Roberta; Bonifácio, Rodrigo; Mariano, Lucas",,conferencePaper,2015,Q,o,o,,,,,,,,x,,,,Duplication of ID:22
56,Design of Tourism Information System with B/S and C/S Architecture based on Android and Web Platform,"Dou, Xuechen; Yanga, Yonggang; Zhou, Weibin; Zhaoc, Zilong; Chend, Xiaoyan; Youe, Guodong",,journalArticle,2017,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture
57,ARCHITECTURE FOR MOBILE MARKETING IN ANDROID: ADVERTISING THROUGH BUSINESS IN℡LIGENCE,"de Faria, Paulo Renato",,journalArticle,2012,Q,o,o,,,,x,,,,x,,,,Not about software architecture; Duplication of ID:25
58,A Mobile App Architecture for Student Information System.,"Taneja, Shilpi; Goel, Anita",,journalArticle,2015,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
59,A Pluggable Mobile IPTV Device Management Architecture on Google Android,"Ahn, Heejune; Jeong, Seungho; Choi, Wanbok",,journalArticle,2010,Q,o,o,,,,,,,,,x,,,Not available
60,An Architecture for Mobile App and Cloud Service Integration.,"Hu, Kevin; Huang, Cheng-Chieh",,conferencePaper,2014,Q,o,,,,,,,,,,x,,,Not available
61,Agro-escalation android-web architecture,"Choudhari, Nikita; Kute, Ruchika Sanchetiand Tushar B",,journalArticle,2014,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
62,"Architecture for generic turn-based game service on Google App Engine, used for Android based games","Hansen, Peer Bech",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
63,Functional security in an ANDROID mobile architecture,"Каrpachev, Ihor; Kazymyr, Volodymyr",,journalArticle,2015,Q,o,,,,,,,,,x,,,,Not about software architecture; Duplication of ID:14
64,An android architecture for bio-inspired honest signalling in Human-Humanoid Interaction,"Sorbello, Rosario; Tramonte, Salvatore; Calí, Carmelo; Giardina, Marcello; Nishio, Shuichi; Ishiguro, Hiroshi; Chella, Antonio",,journalArticle,2018,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
65,Development and Research of Application Programming Based on Android Platform Architecture [J],"Yan-sui, DU",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
66,AN ARCHITECTURAL APPROACH FOR QUALITY IMPROVING OF ANDROID APPLICATIONS DEVELOPMENT WHICH IMPLEMENTED TO COMMUNICATION APPLICATION FOR MECHATRONICS ROBOT LABORATORY ONAFT,"Makarenko, V; Olshevska, O; Kornienko, Yu",,journalArticle,2017,Q,o,o,,x,x,,,,,,,,,
67,Lecture Games: Designing a Game Development Framework for Teaching Software Architecture on the Android Platform,"Ruud, Anders Hartvoll",Institutt for datateknikk og informasjonsvitenskap,thesis,2009,Q,o,,,,,,,,x,,x,,,Not peer-reviewed; Not available
